Print,to produce writing or images on paper or other material with a machine,I'm waiting for a document to ...,/prɪnt/
Learn,to get knowledge or skill in a new subject or activity,They ... Russian at school,/lɜːn/
Open,to (cause to) begin,I'm going to ... an account with another bank,/ˈəʊ.pən/
Close,to (cause something to) change from being open to not being open,Could you close the door please,/kləʊz/
Run,to go faster than a walk,I can ... a mile in five minutes,/rʌn/
Play,spend time doing an enjoyable and/or entertaining activity,We ... video games,/pleɪ/
Read,to say the words that are printed or written,She ... the poem slowly and quietly,/riːd/
