Indict,to charge with a fault or crime,The president was ...ed,/ɪnˈdaɪt/
meticulous,marked by extreme or excessive care,Many hours of ... preparation have gone into making the app,/məˈtɪk.jə.ləs/
Conscientious,meticulous and careful,a ... listener,/ˌkɒn.ʃiˈen.ʃəs/
Minuscule,extremely small,All she gave him to eat was two ... pieces of toast,/ˈmɪn.ə.skjuːl/
Accommodate,to provide with something desired, There wasn't enough space to ... the files,/əˈkɒm.ə.deɪt/
Sacrilegious,treating something holy or important without respect,It would be a ... to put a neon sign on that beautiful old building,/ˈsæk.rɪ.lɪdʒ/
