Brilliance,great skill or intelligence,Her first novel showed signs of ...,/ˈbrɪl.jəns/
Charity,generosity,She does a lot of ... for charity,/ˈtʃær.ə.ti/
Coldness,the quality of being cold in temperature,The icy ... of the tapwater on my face restored me,/ˈkəʊld.nəs/
Ego,your idea or opinion of yourself and the feeling of your own importance and ability,she needed something to boost her ...,/ˈiː.ɡəʊ/
Envy,resentful awareness of an advantage,I ... her ability to talk to people she's never met before,/ˈen.vi/
Elegance,tasteful richness,this essay is written with wit and ...,/ˈel.ə.ɡəns/
Calm,a period of tranquility,He has a very ... manner,/kɑːm/
