Gorilla,a large ape that comes from western Africa,...,/ɡəˈrɪl.ə/
Oyster,a large flat sea creature that lives in a shell,..,/ˈɔɪ.stər/
Otter,a mammal with four legs and short brown fur that swims well and eats fish,...,/ˈɒt.ər/
Parrot,a tropical bird with a curved beak often trained to copy the human voice,..,/ˈpær.ət/
Possum,a small marsupial that lives in trees,...,/ˈpɒs.əm/
Peacock,a large bird the male of which has very long and colorful tail feathers,...,/ˈpiː.kɒk/
Beetle,an insect with a hard shell-like back,....,/ˈbiː.təl/
