Elephant,Large animal with long trunk,We ride on an ... at zoo,/'elɪfənt/
Bat,a small animal like a mouse with wings that flies at night,...,/bæt/
Bird,a creature with feathers and wings. usually able to fly,....,/bɜːd/
Cow,a large female farm animal kept to produce meat and milk,...,/kaʊ/
Cat,a small animal with fur usually kept as a pet or for catching mice,....,/kæt/
Dog,a common animal with four legs especially kept by people as a pet or to hunt or guard things,....,/dɒɡ/
Goat,an animal related to sheep that usually has horns and a beard,...,/ɡəʊt/
Deer,a quite large animal with four legs that eats grass and leaves,...,/dɪər/
Eagle,a large and strong bird with a curved beak that eats meat and can see very well,...,/ˈiː.ɡəl/
Dolphin,a sea mammal that is large and grey with a long and pointed mouth,...,/ˈdɒl.fɪn/
