Monkey,an animal that has a long tail and climbs trees,...,/ˈmʌŋ.ki/
Rabbit,a small animal that moves by jumping on its long back legs,...,/ˈræb.ɪt/
Termite,a small tropical insect that eats wood,...,/ˈtɜː.maɪt/
Tiger,a large wild animal of the cat family,...,/ˈtaɪ.ɡər/
Wolf,a wild animal of the dog family,...,/wʊlf/
Zebra,an African wild animal that looks like a horse,...,/ˈzeb.rə/
Penguin,a bird that cannot fly but uses its small wings to help it swim,...,/ˈpeŋ.ɡwɪn/
Octopus,a sea creature with a soft body and eight tentacles,...,/ˈɒk.tə.pəs/
Leopard,a large wild cat that has yellow fur with black spots,...,/ˈlep.əd/
