Family,group related by blood,Jack's ... is supportive,/ˈfæm.əl.i/
Father,a male parent,My ... took me to watch the football every Saturday,/ˈfɑː.ðər/
Dad,a father,It was great to see your mum and ... at the concert last night,/dæd/
Mother,a female parent,My ... was 21 when she got married,/ˈmʌð.ər/
Son,a male child,This is my ...,/sʌn/
Daughter,a female child,Liz and Phil have a ... and three sons,/ˈdɔː.tər/
Sister,a girl or woman who has the same parents as another person,Sophie and Emily are ...s,/ˈsɪs.tər/
Uncle,the brother of one's father or mother,We invited my ... Steve over,/ˈʌŋ.kəl/
Aunt,the sister of one's father or mother,I have an ... in Australia,/ɑːnt/
Cousin,a child of one's uncle or aunt,Cloe is my ...,/ˈkʌz.ən/
